,里程,总重量,总体积,顺序,最后一点,经过的点,出发时间,充电次数,车型
0,142321,2.212604,5.705800000000001,0 ->618 -> 549 -> 994 -> 942 -> 883 -> 1042 -> 2000,1042,"[0, 618, 549, 994, 942, 883, 1042]",121.0,1,2
0,31708,2.11784,3.5180999999999996,0 ->802 -> 843 -> 749 -> 2000,749,"[0, 802, 843, 749]",48.0,0,2
0,118105,2.4750750000000004,8.0397,0 ->825 -> 566 -> 978 -> 765 -> 1000 -> 536 -> 2000,536,"[0, 825, 566, 978, 765, 1000, 536]",38.0,0,2
0,95857,2.346794,6.9852,0 ->841 -> 798 -> 992 -> 664 -> 973 -> 630 -> 936 -> 2000,936,"[0, 841, 798, 992, 664, 973, 630, 936]",70.0,0,2
0,167089,1.7916549999999998,4.6997,0 ->851 -> 931 -> 687 -> 892 -> 915 -> 1068 -> 824 -> 2000,824,"[0, 851, 931, 687, 892, 915, 1068, 824]",14.0,1,2
0,125267,1.8684939999999999,3.6857000000000006,0 ->853 -> 972 -> 884 -> 867 -> 913 -> 530 -> 1051 -> 2000,1051,"[0, 853, 972, 884, 867, 913, 530, 1051]",51.0,1,2
0,111689,2.47226,3.6647000000000003,0 ->893 -> 747 -> 745 -> 2000,745,"[0, 893, 747, 745]",51.0,0,2
0,119158,2.25586,3.6024999999999996,0 ->924 -> 792 -> 725 -> 995 -> 2000,995,"[0, 924, 792, 725, 995]",62.0,0,2
0,132234,1.643505,3.3283,0 ->941 -> 891 -> 719 -> 839 -> 859 -> 882 -> 818 -> 1026 -> 2000,1026,"[0, 941, 891, 719, 839, 859, 882, 818, 1026]",31.0,1,2
0,95776,1.47013,3.3904000000000005,0 ->955 -> 866 -> 721 -> 752 -> 970 -> 923 -> 678 -> 967 -> 2000,967,"[0, 955, 866, 721, 752, 970, 923, 678, 967]",31.0,0,1
0,118646,2.1161680000000005,5.6228,0 ->989 -> 751 -> 673 -> 861 -> 971 -> 909 -> 960 -> 965 -> 1069 -> 2000,1069,"[0, 989, 751, 673, 861, 971, 909, 960, 965, 1069]",25.0,1,2
0,130819,2.02468,3.1597000000000004,0 ->999 -> 887 -> 943 -> 707 -> 783 -> 680 -> 685 -> 748 -> 990 -> 1008 -> 2000,1008,"[0, 999, 887, 943, 707, 783, 680, 685, 748, 990, 1008]",20.999999999999375,1,2
